Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
MO,81134,Acanthaceae,Ruellia potamophila,1,Acanthaceae Ruellia potamophila,Ruellia potamophila,1,Leonard,http://www.tropicos.org/Name/50133974,,,No opinion,Ruellia,1,potamophila,,,,,,Yes,,Colombia Ecuador
MO,88831,Acanthaceae,Staurogyne minarum,2,Acanthaceae Staurogyne minarum,Staurogyne minarum,1,Nees,http://www.tropicos.org/Name/101090 ,,,Accepted,Staurogyne,1,minarum,,,,,,Yes,,brazil
MO,1301,Actinidiaceae,Actinidia polygama,1,Actinidiaceae Actinidia polygama,Actinidia polygama,1,(Siebold & Zucc.) Maxim.,http://www.tropicos.org/Name/500157 ,,,Accepted,Actinidia,1,polygama,,,,Yes,,,,from china
MO,97108,Adoxaceae,Viburnum pubescens,1,Adoxaceae Viburnum pubescens,Viburnum pubescens,1,(Aiton) Pursh,http://www.tropicos.org/Name/6000571 ,,,Accepted,Viburnum,1,pubescens,,,,,,,yes,"apparently accepted by FNA, but USDA see it as a synonym of V. dentatum"
MO,69092,Amaranthaceae,Pfaffia rotundifolia,1,Amaranthaceae Pfaffia rotundifolia,Pfaffia rotundifolia,1,Pedersen,http://www.tropicos.org/Name/50296960 ,,,Accepted,Pfaffia,1,rotundifolia,,,,,,yes,,endemic to Santa Cruz Bolivia
MO,4639,Annonaceae,Annona billbergiana,1,Annonaceae Annona billbergiana,Annona billbergiana,1,R.E. Fr.,http://www.tropicos.org/Name/50303021 ,,,No opinion,Annona,1,billbergiana,,,,,,Yes,,endemic to panama
MO,41028,Annonaceae,Guatteriopsis ramiflora,1,Annonaceae Guatteriopsis ramiflora,Guatteriopsis ramiflora,1,D.R. Simpson,http://www.tropicos.org/Name/1600363 ,,,Accepted,Guatteriopsis,1,ramiflora,,,,,,Yes,,endemic to peru
MO,34610,Apiaceae,Eryngium intermedium,1,Apiaceae Eryngium intermedium,Eryngium intermedium,1,Weinm.,http://www.tropicos.org/Name/100334154 ,,,No opinion,Eryngium,1,intermedium,,yes,,,,,,a synonym of E. planum
MO,26205,Apocynaceae,Cynanchum jaramilloi,1,Apocynaceae Cynanchum jaramilloi,Cynanchum jaramilloi,1,Morillo,http://www.tropicos.org/Name/50079509 ,,,Accepted,Cynanchum,1,jaramilloi,,,,,,yes,,endemic to ecuador
MO,29995,Apocynaceae,Ditassa oliva-estevae,3,Apocynaceae Ditassa oliva-estevae,Ditassa oliva-estevae,1,Morillo,http://www.tropicos.org/Name/2610445,,,Accepted,Ditassa,1,oliva-estevae,,,,,,yes,,endemic to venezuela
MO,54100,Apocynaceae,Mandevilla papillosa,1,Apocynaceae Mandevilla papillosa,Mandevilla papillosa,1,J.F. Morales,http://www.tropicos.org/Name/50238136,,,No opinion,Mandevilla,1,papillosa,yes,,,,,no,,"unpublished name, has no status"
MO,54787,Apocynaceae,Marsdenia heringeri,1,Apocynaceae Marsdenia heringeri,Marsdenia heringeri,1,Fontella,http://www.tropicos.org/Name/50172406,,,Accepted,Marsdenia,1,heringeri,,,,,,yes,,endemic to brazil
MO,54822,Apocynaceae,Marsdenia spiralis,3,Apocynaceae Marsdenia spiralis,Marsdenia spiralis,1,W. Rothe,http://www.tropicos.org/Name/2607393,,,Accepted,Marsdenia,1,spiralis,,,,,yes,yes,yes,Bolivia paraguay
MO,45643,Aquifoliaceae,Ilex holstii,3,Aquifoliaceae Ilex holstii,Ilex holstii,1,Steyerm.,http://www.tropicos.org/Name/2000285,,,Accepted,Ilex,1,holstii,,,,,,yes,,Venezuela
MO,45666,Aquifoliaceae,Ilex longipilosa,2,Aquifoliaceae Ilex longipilosa,Ilex longipilosa,1,Steyerm.,http://www.tropicos.org/Name/2000288,,,Accepted,Ilex,1,longipilosa,,,,,,yes,,Venezuela
MO,45683,Aquifoliaceae,Ilex mexicana,3,Aquifoliaceae Ilex mexicana,Ilex mexicana,1,(Turcz.) Black ex Hemsl.,http://www.tropicos.org/Name/50142116,,,Accepted,Ilex,1,mexicana,,,,,,Yes,,mexico
MO,4930,Araceae,Anthurium albispatha,1,Araceae Anthurium albispatha,Anthurium albispatha,1,Sodiro,http://www.tropicos.org/Name/2100975,,,Accepted,Anthurium,1,albispatha,,,,,,Yes,,endemic ecuador
MO,5000,Araceae,Anthurium bicolor,1,Araceae Anthurium bicolor,Anthurium bicolor,1,Crousse,http://www.tropicos.org/Name/50089081,,,No opinion,Anthurium,1,bicolor,,,,,,,yes,not published no status
MO,5010,Araceae,Anthurium boudetii,1,Araceae Anthurium boudetii,Anthurium boudetii,1,Nadruz,http://www.tropicos.org/Name/50309662 ,,,Accepted,Anthurium,1,boudetii,,,,,,Yes,,brazil
MO,5039,Araceae,Anthurium caphuariense,1,Araceae Anthurium caphuariense,Anthurium caphuariense,1,Croat,http://www.tropicos.org/Name/50254216 ,,,No opinion,Anthurium,1,caphuariense,,,,,,,yes,not published no status
MO,5339,Araceae,Anthurium lanjouwii,1,Araceae Anthurium lanjouwii,Anthurium lanjouwii,1,A.M.E. Jonker & Jonker,http://www.tropicos.org/Name/2104829 ,,,Accepted,Anthurium,1,lanjouwii,,,,,yes,Yes,,surinam & french guiana
MO,59453,Araceae,Monstera coclensis,2,Araceae Monstera coclensis,Monstera coclensis,1,Croat,http://www.tropicos.org/Name/50292503 ,,,No opinion,Monstera,1,coclensis,,,,,,,yes,not published no status
MO,79444,Araceae,Rhodospatha bolivarana,1,Araceae Rhodospatha bolivarana,Rhodospatha bolivarana,1,G.S. Bunting,http://www.tropicos.org/Name/2105753 ,,,Accepted,Rhodospatha,1,bolivarana,,,,,,Yes,,Venezuela
MO,44526,Araliaceae,Hydrocotyle hirta,1,Araliaceae Hydrocotyle hirta,Hydrocotyle hirta,1,R. Br. ex A. Rich.,http://www.tropicos.org/Name/1701930 ,,,Accepted,Hydrocotyle,1,hirta,,,,,,,yes,"records also from africa, uncertain what that means"
MO,82944,Araliaceae,Schefflera discolor,1,Araliaceae Schefflera discolor,Schefflera discolor,1,Merr.,http://www.tropicos.org/Name/2200906 ,,,Accepted,Schefflera,1,discolor,,,,,,,yes,in venezuela & china
MO,82997,Araliaceae,Schefflera pachycarpa,3,Araliaceae Schefflera pachycarpa,Schefflera pachycarpa,1,(Marchal) Frodin,http://www.tropicos.org/Name/50254564 ,,,Accepted,Schefflera,1,pachycarpa,,,,,,Yes,,brazil
MO,2456,Asteraceae,Ageratina glauca,3,Asteraceae Ageratina glauca,Ageratina glauca,1,(Sch. Bip. ex Klatt) R.M. King & H. Rob.,http://www.tropicos.org/Name/2712233 ,,,Accepted,Ageratina,1,glauca,,,,,,Yes,,mexico & guatemala
MO,7334,Asteraceae,Artemisia stelleriana,1,Asteraceae Artemisia stelleriana,Artemisia stelleriana,1,Besser,http://www.tropicos.org/Name/2701805 ,,,Accepted,Artemisia,1,stelleriana,,,,,yes,,,wide spread
MO,7708,Asteraceae,Aspilia scabrida,1,Asteraceae Aspilia scabrida,Aspilia scabrida,1,Brandegee,http://www.tropicos.org/Name/2739593 ,,,No opinion,Aspilia,1,scabrida,,,,,,Yes,,mexico
MO,9458,Asteraceae,Bahia dealbata,1,Asteraceae Bahia dealbata,Bahia dealbata,1,A. Gray,http://www.tropicos.org/Name/50110305 ,,,No opinion,Bahia,1,dealbata,,yes,,,,,,synonym of Bahia absinthifolia var. dealbata (A. Gray) A. Gray
MO,12640,Asteraceae,Brickellia lewisii,3,Asteraceae Brickellia lewisii,Brickellia lewisii,1,B.L. Turner,http://www.tropicos.org/Name/2712736 ,,,Accepted,Brickellia,1,lewisii,,,,,,yes,,mexico
MO,14659,Asteraceae,Calea fruticosa,2,Asteraceae Calea fruticosa,Calea fruticosa,1,"(Gardner) Urbatsch, Zlotsky & Pruski",http://www.tropicos.org/Name/50271475 ,,,Accepted,Calea,1,fruticosa,,,,,,yes,,brazil
MO,19483,Asteraceae,Chionolaena isabellae,2,Asteraceae Chionolaena isabellae,Chionolaena isabellae,1,Baker,http://www.tropicos.org/Name/2741227 ,,,Accepted,Chionolaena,1,isabellae,,,,,,yes,,brazil
MO,19490,Asteraceae,Chionolaena salicifolia,3,Asteraceae Chionolaena salicifolia,Chionolaena salicifolia,1,(Bertol.) G.L. Nesom,http://www.tropicos.org/Name/50212485 ,,,Accepted,Chionolaena,1,salicifolia,,,,,,yes,,mexico
MO,19773,Asteraceae,Chromolaena barrosoae,2,Asteraceae Chromolaena barrosoae,Chromolaena barrosoae,1,R.M. King & H. Rob.,http://www.tropicos.org/Name/2712972 ,,,Accepted,Chromolaena,1,barrosoae,,,,,,yes,,brazil
MO,19792,Asteraceae,Chromolaena eripsima,1,Asteraceae Chromolaena eripsima,Chromolaena eripsima,1,(B.L. Rob.) R.M. King & H. Rob.,http://www.tropicos.org/Name/2713003 ,,,Accepted,Chromolaena,1,eripsima,,,,,,yes,,ecuador
MO,19852,Asteraceae,Chromolaena voglii,2,Asteraceae Chromolaena voglii,Chromolaena voglii,1,(B.L. Rob.) H. Huber,http://www.tropicos.org/Name/2713126 ,,,Accepted,Chromolaena,1,voglii,,,,,,yes,,Venezuela
MO,19979,Asteraceae,Chrysopsis graminifolia,1,Asteraceae Chrysopsis graminifolia,Chrysopsis graminifolia,1,(Michx.) Elliott,http://www.tropicos.org/Name/2725255 ,,,Synonym,Chrysopsis,1,graminifolia,,,,,,,yes,synonym of Pityopsis graminifolia (Michx.) Nutt.
MO,24308,Asteraceae,Crossothamnus weberbaueri,1,Asteraceae Crossothamnus weberbaueri,Crossothamnus weberbaueri,1,(Hieron.) R.M. King & H. Rob.,http://www.tropicos.org/Name/2713381 ,,,Accepted,Crossothamnus,1,weberbaueri,,,,,,Yes,,peru endemic
MO,35980,Asteraceae,Eupatorium palustre,1,Asteraceae Eupatorium palustre,Eupatorium palustre,1,Baker,http://www.tropicos.org/Name/2705968 ,,,No opinion,Eupatorium,1,palustre,,yes,,,,yes,,brazil only known from type
MO,41558,Asteraceae,Gynoxys rimbachii,1,Asteraceae Gynoxys rimbachii,Gynoxys rimbachii,1,Cuatrec.,http://www.tropicos.org/Name/2743353 ,,,Accepted,Gynoxys,1,rimbachii,,,,,,Yes,,ecuador
MO,51348,Asteraceae,Llerasia soratensis,2,Asteraceae Llerasia soratensis,Llerasia soratensis,1,(S.F. Blake) Cuatrec.,http://www.tropicos.org/Name/2725773 ,,,Accepted,Llerasia,1,soratensis,,,,,,Yes,,bolivia
MO,57970,Asteraceae,Micropsis dasycarpa,2,Asteraceae Micropsis dasycarpa,Micropsis dasycarpa,1,(Griseb.) Beauverd,http://www.tropicos.org/Name/2741720 ,,,Accepted,Micropsis,1,dasycarpa,,,,,,Yes,,paraguay
MO,58140,Asteraceae,Mikania houstonioides,1,Asteraceae Mikania houstonioides,Mikania houstonioides,1,H. Rob. & W.C. Holmes,http://www.tropicos.org/Name/50229639 ,,,Accepted,Mikania,1,houstonioides,,,,,,Yes,,ecuador
MO,59516,Asteraceae,Montanoa laskowskii,1,Asteraceae Montanoa laskowskii,Montanoa laskowskii,1,McVaugh,http://www.tropicos.org/Name/2701048 ,,,Accepted,Montanoa,1,laskowskii,,,,,,Yes,,mexico
MO,60028,Asteraceae,Munnozia smithii,2,Asteraceae Munnozia smithii,Munnozia smithii,1,H. Rob.,http://www.tropicos.org/Name/50200977 ,,,No opinion,Munnozia,1,smithii,,,,,,Yes,,peru endemic
MO,61885,Asteraceae,Nordenstamia repanda,1,Asteraceae Nordenstamia repanda,Nordenstamia repanda,1,(Wedd.) Lundin,http://www.tropicos.org/Name/50295392 ,,,Accepted,Nordenstamia,1,repanda,,,,,,Yes,,bolivia
MO,67221,Asteraceae,Pectis holochaeta,1,Asteraceae Pectis holochaeta,Pectis holochaeta,1,(S.F. Blake) D.J. Keil,http://www.tropicos.org/Name/2740311 ,,,Accepted,Pectis,1,holochaeta,,,,,,Yes,,mexico
MO,72073,Asteraceae,Piptocarpha brasiliana,1,Asteraceae Piptocarpha brasiliana,Piptocarpha brasiliana,1,Cass.,http://www.tropicos.org/Name/50158211 ,,,Accepted,Piptocarpha,1,brasiliana,,,,,,Yes,,brazil
MO,82489,Asteraceae,Sartwellia gypsophila,3,Asteraceae Sartwellia gypsophila,Sartwellia gypsophila,1,A.M. Powell & B.L. Turner,http://www.tropicos.org/Name/50193198 ,,,Accepted,Sartwellia,1,gypsophila,,,,,,Yes,,mexico
MO,84748,Asteraceae,Senecio laseguei,1,Asteraceae Senecio laseguei,Senecio laseguei,1,Hombr. & Jacquinot,http://www.tropicos.org/Name/2701267 ,,,Accepted,Senecio,1,laseguei,,,,,,yes,,chile & argentina
MO,89745,Asteraceae,Stevia potrerensis,1,Asteraceae Stevia potrerensis,Stevia potrerensis,1,Hieron.,http://www.tropicos.org/Name/2708387 ,,,Accepted,Stevia,1,potrerensis,,,,,,Yes,,bolivia
MO,89998,Asteraceae,Stilpnopappus semirianus,2,Asteraceae Stilpnopappus semirianus,Stilpnopappus semirianus,1,R. Esteves,http://www.tropicos.org/Name/50236237 ,,,No opinion,Stilpnopappus,1,semirianus,,,,,,,yes,naked name no status
MO,96698,Asteraceae,Verbesina corral-diazii,3,Asteraceae Verbesina corral-diazii,Verbesina corral-diazii,1,B.L. Turner,http://www.tropicos.org/Name/2738045 ,,,Accepted,Verbesina,1,corral-diazii,,,,,,yes,,mexico
MO,97215,Asteraceae,Viguiera bombycina,3,Asteraceae Viguiera bombycina,Viguiera bombycina,1,Blake,http://www.tropicos.org/Name/50145676 ,,,Accepted,Viguiera,1,bombycina,,,,,,yes,,mexico
MO,97239,Asteraceae,Viguiera hypargyrea,2,Asteraceae Viguiera hypargyrea,Viguiera hypargyrea,1,Greenm.,http://www.tropicos.org/Name/50336036 ,,,Accepted,Viguiera,1,hypargyrea,,,,,,Yes,,mexico
MO,99299,Asteraceae,Zinnia microglossa,2,Asteraceae Zinnia microglossa,Zinnia microglossa,1,(DC.) McVaugh,http://www.tropicos.org/Name/50160551 ,,,Accepted,Zinnia,1,microglossa,,,,,,Yes,,mexico
MO,30334,Brassicaceae,Draba ecuadoriana,1,Brassicaceae Draba ecuadoriana,Draba ecuadoriana,1,Al-Shehbaz,http://www.tropicos.org/Name/4105087 ,,,Accepted,Draba,1,ecuadoriana,,,,,,yes,,ecuador
MO,30386,Brassicaceae,Draba palanderiana,3,Brassicaceae Draba palanderiana,Draba palanderiana,1,Kjellm.,http://www.tropicos.org/Name/4100448 ,,,Accepted,Draba,1,palanderiana,,,,,,yes,yes,usa also in china?
MO,35301,Brassicaceae,Eudema rupestris,1,Brassicaceae Eudema rupestris,Eudema rupestris,1,Bonpl.,http://www.tropicos.org/Name/4100841 ,,,Accepted,Eudema,1,rupestris,,,,,,yes,,ecuador
MO,86294,Brassicaceae,Sisymbrium oleraceum,2,Brassicaceae Sisymbrium oleraceum,Sisymbrium oleraceum,1,O.E. Schulz,http://www.tropicos.org/Name/4100984 ,,,Accepted,Sisymbrium,1,oleraceum,,yes,,,,,,synonym of Mostacillastrum oleraceum (O.E. Schulz) Al-Shehbaz
MO,1760,Bromeliaceae,Aechmea castanea,1,Bromeliaceae Aechmea castanea,Aechmea castanea,1,L.B. Sm.,http://www.tropicos.org/Name/4304583 ,,,Accepted,Aechmea,1,castanea,,,,,,yes,,brazil
MO,28027,Bromeliaceae,Deuterocohnia schreiteri,1,Bromeliaceae Deuterocohnia schreiteri,Deuterocohnia schreiteri,1,A. Cast.,http://www.tropicos.org/Name/4302931 ,,,Accepted,Deuterocohnia,1,schreiteri,,,,,,yes,,argentina
MO,31097,Bromeliaceae,Dyckia tomentella,2,Bromeliaceae Dyckia tomentella,Dyckia tomentella,1,Mez,http://www.tropicos.org/Name/4300176 ,,,Accepted,Dyckia,1,tomentella,,,,,,yes,,paraguay
MO,77806,Bromeliaceae,Puya pyramidata,2,Bromeliaceae Puya pyramidata,Puya pyramidata,1,(Ruiz & Pav.) Schult. f.,http://www.tropicos.org/Name/4300599 ,,,Accepted,Puya,1,pyramidata,,,,,,yes,,peru endemic
MO,93637,Bromeliaceae,Tillandsia portillae,1,Bromeliaceae Tillandsia portillae,Tillandsia portillae,1,E. Gross & R. WŸlfinghoff,http://www.tropicos.org/Name/50098484 ,,,Accepted,Tillandsia,1,portillae,,,,,,yes,,ecuador
MO,12976,Brunelliaceae,Brunellia diversifolia,1,Brunelliaceae Brunellia diversifolia,Brunellia diversifolia,1,C.I. Orozco,http://www.tropicos.org/Name/50095509 ,,,Accepted,Brunellia,1,diversifolia,,yes,,,,,,synonym of Brunellia acostae Cuatrec.
MO,18095,Campanulaceae,Centropogon vitifolius,2,Campanulaceae Centropogon vitifolius,Centropogon vitifolius,1,Lammers,http://www.tropicos.org/Name/50191232 ,,,Accepted,Centropogon,1,vitifolius,,,,,,yes,,peru endemic
MO,15990,Capparaceae,Capparis pulcherrima,2,Capparaceae Capparis pulcherrima,Capparis pulcherrima,1,Jacq.,http://www.tropicos.org/Name/5900772 ,,,Accepted,Capparis,1,pulcherrima,,,,,,yes,,colombia venezuela
MO,37682,Capparaceae,Forchhammeria brevipes,2,Capparaceae Forchhammeria brevipes,Forchhammeria brevipes,1,Urb.,http://www.tropicos.org/Name/5900914 ,,,No opinion,Forchhammeria,1,brevipes,,,,,,yes,,dominican rep. & puerto rico
MO,73081,Caprifoliaceae,Plectritis californica,2,Caprifoliaceae Plectritis californica,Plectritis californica,1,(Suksd.) Dyal,http://www.tropicos.org/Name/33500474 ,,,Accepted,Plectritis,1,californica,,,,,,yes,,california
